Day;Date;HomeTeam;AwayTeam;FTR;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
J15;20/12/2020;Dijon;Monaco;A;6.5;4.68;1.6;5.76;4.4;1.54
J15;20/12/2020;Nantes;Angers;D;2.56;3.5;03.03;2.46;3.31;2.9
J15;20/12/2020;St Etienne;Nimes;D;1.64;4.4;6.5;1.58;4.14;5.68
J15;20/12/2020;Strasbourg;Bordeaux;A;2.25;3.5;3.6;2.19;3.3;3.41
J15;20/12/2020;Lorient;Rennes;A;4.1;3.72;02.02;3.87;3.51;1.96
J15;20/12/2020;Lille;Paris SG;D;4;3.92;02.03;3.67;3.74;1.95
J16;23/12/2020;Bordeaux;Reims;A;2.32;3.4;3.58;2.23;3.24;3.39
J16;23/12/2020;Lens;Brest;H;02.07;3.9;3.8;1.99;3.68;3.6
J16;23/12/2020;Nice;Lorient;D;1.94;3.79;4.33;1.88;3.6;4.11
J16;23/12/2020;Nimes;Dijon;A;2.72;3.65;2.8;2.58;3.42;2.68
J16;23/12/2020;Rennes;Metz;H;1.66;4.25;6.5;1.6;3.92;5.87
J16;23/12/2020;Angers;Marseille;H;3.18;3.38;2.58;2.98;3.21;2.47
J16;23/12/2020;Lyon;Nantes;H;1.33;6.5;12;1.29;5.86;9.5
J16;23/12/2020;Monaco;St Etienne;D;1.68;4.38;5.64;1.63;04.09;5.2
J16;23/12/2020;Montpellier;Lille;A;3.6;3.56;2.3;3.41;3.35;2.18
J16;23/12/2020;Paris SG;Strasbourg;H;1.35;6.32;10.5;1.3;5.78;9.29
J17;06/01/2021;Brest;Nice;H;2.32;3.77;3.18;2.24;3.63;03.04
J17;06/01/2021;Lorient;Monaco;A;4.58;4.13;1.83;4.38;3.94;1.76
J17;06/01/2021;Metz;Bordeaux;D;2.75;3.22;2.96;2.65;03.09;2.87
J17;06/01/2021;Nantes;Rennes;D;3.8;3.7;2.22;3.59;3.43;02.08
J17;06/01/2021;Strasbourg;Nimes;H;1.64;4.28;6.35;1.57;04.06;5.87
J17;06/01/2021;Lille;Angers;A;1.66;4.12;6.5;1.6;3.91;5.97
J17;06/01/2021;Lyon;Lens;H;1.5;5;07.08;1.46;4.79;6.41
J17;06/01/2021;Marseille;Montpellier;H;2.15;3.59;3.89;02.08;3.42;3.6
J17;06/01/2021;Reims;Dijon;D;1.9;3.78;4.61;1.85;3.6;4.33
J17;06/01/2021;St Etienne;Paris SG;D;8.7;5.5;1.42;7.57;5.19;1.38
J18;09/01/2021;Bordeaux;Lorient;H;2.11;3.6;4;02.03;3.38;3.79
J18;09/01/2021;Dijon;Marseille;D;4.6;3.6;02.01;4.21;3.42;1.92
J18;09/01/2021;Lens;Strasbourg;A;2.42;3.58;3.32;2.31;3.37;3.12
J18;09/01/2021;Metz;Nice;D;2.72;3.29;03.03;2.6;3.16;2.87
J18;09/01/2021;Monaco;Angers;H;1.79;04.04;5.59;1.72;3.74;4.96
J18;09/01/2021;Montpellier;Nantes;D;02.07;3.78;04.04;1.98;3.52;3.83
J18;09/01/2021;Nimes;Lille;A;8.13;4.8;1.5;7.41;4.48;1.44
J18;09/01/2021;Paris SG;Brest;H;1.2;9;17.03;1.16;08.07;15.06
J18;09/01/2021;Reims;St Etienne;H;03.01;3.16;2.85;2.85;03.02;2.73
J18;09/01/2021;Rennes;Lyon;D;3.55;3.63;2.26;3.32;3.47;2.17
J19;15/01/2021;Montpellier;Monaco;A;3.5;3.75;2.24;3.32;3.5;2.17
J19;16/01/2021;Marseille;Nimes;A;1.47;5.1;8.45;1.42;4.66;7.57
J19;16/01/2021;Angers;Paris SG;A;9.5;5.75;1.4;8.62;5.31;1.34
J19;17/01/2021;Brest;Rennes;A;3.41;3.72;2.24;3.27;3.49;2.18
J19;17/01/2021;Nantes;Lens;D;2.63;3.48;2.95;2.55;3.33;2.8
J19;17/01/2021;Nice;Bordeaux;A;2.5;3.38;3.37;2.36;3.21;3.18
J19;17/01/2021;Strasbourg;St Etienne;H;2.1;3.6;4.34;2;3.38;3.93
J19;17/01/2021;Lille;Reims;H;1.7;4;6.27;1.64;3.71;5.79
J19;17/01/2021;Lyon;Metz;A;1.33;6.25;12.16;1.28;5.71;10.56
J20;20/01/2021;Marseille;Lens;A;2.15;3.62;04.09;02.06;3.38;3.71
J20;22/01/2021;Paris SG;Montpellier;H;1.2;8.9;19.75;1.17;7.98;15.7
J20;23/01/2021;Lens;Nice;A;2.15;3.48;4.38;02.03;3.32;3.89
J20;23/01/2021;Monaco;Marseille;H;1.81;4.2;4.75;1.76;3.96;4.38
J20;24/01/2021;Bordeaux;Angers;H;2.51;3.28;3.41;2.39;3.14;3.17
J20;24/01/2021;Dijon;Strasbourg;D;3.86;3.72;2.12;3.68;3.47;02.03
J20;24/01/2021;Metz;Nantes;H;2.67;3.29;3.25;2.45;3.12;03.09
J20;24/01/2021;Reims;Brest;H;2.46;3.58;3.1;2.37;3.41;2.95
J20;24/01/2021;Rennes;Lille;A;2.9;3.19;2.86;2.78;03.05;2.74
J20;24/01/2021;St Etienne;Lyon;A;9.3;05.03;1.45;7.58;4.73;1.41
J21;27/01/2021;Lorient;Dijon;H;2.25;3.56;3.48;2.18;3.39;3.37
J21;29/01/2021;Lyon;Bordeaux;H;1.37;6.25;10;1.32;5.65;8.86
J21;30/01/2021;Montpellier;Lens;A;03.02;3.56;2.65;2.87;3.23;2.55
J21;31/01/2021;Nice;St Etienne;A;2.25;3.7;3.41;2.17;3.51;3.27
J21;31/01/2021;Angers;Nimes;H;1.76;4.2;5.7;1.66;3.88;5.26
J21;31/01/2021;Brest;Metz;A;2.34;3.52;3.59;2.18;3.36;3.38
J21;31/01/2021;Lorient;Paris SG;H;19;9.2;1.19;15;8.16;1.16
J21;31/01/2021;Strasbourg;Reims;A;2.16;3.35;4.18;02.08;3.23;3.84
J21;31/01/2021;Lille;Dijon;H;1.4;5.11;10.44;1.36;4.76;9.28
J21;31/01/2021;Nantes;Monaco;A;4.38;4.1;1.88;4.21;3.8;1.81
J22;03/02/2021;Bordeaux;Lille;A;4.15;3.28;2.18;3.9;3.15;02.09
